구분,2020_소계,2020_자신의 건강상태,2020_자신의 재정상태,2020_주위 친지 친구와의 관계,2020_가정생활,2020_사회생활,2021_소계,2021_자신의 건강상태,2021_자신의 재정상태,2021_주위 친지 친구와의 관계,2021_가정생활,2021_사회생활,2022_소계,2022_자신의 건강상태,2022_자신의 재정상태,2022_주위 친지 친구와의 관계,2022_가정생활,2022_사회생활,2023_소계,2023_자신의 건강상태,2023_자신의 재정상태,2023_주위 친지 친구와의 관계,2023_가정생활,2023_사회생활,2024_소계,2024_자신의 건강상태,2024_자신의 재정상태,2024_주위 친지 친구와의 관계,2024_가정생활,2024_사회생활
종로구,6.46,6.99,5.88,6.66,6.53,6.24,6.23,6.5,5.77,6.31,6.38,6.19,6.9,7.19,6.53,6.99,7.0,6.78,5.21,5.62,4.64,5.16,5.3,5.31,6.06,7.19,5.59,5.74,6.2,5.6
중구,6.44,6.81,5.83,6.56,6.61,6.39,6.35,6.61,5.84,6.5,6.49,6.33,6.44,6.79,6.01,6.52,6.5,6.39,6.42,6.59,5.96,6.56,6.43,6.55,6.27,6.42,5.9,6.5,6.29,6.27
용산구,6.3,6.87,5.79,6.31,6.37,6.15,6.13,6.62,5.57,6.21,6.27,5.97,6.5,7.13,6.28,6.46,6.39,6.27,6.0,6.33,5.5,6.06,6.03,6.05,6.22,6.67,5.53,6.35,6.23,6.31
성동구,6.38,6.85,5.81,6.5,6.51,6.21,6.28,6.64,5.83,6.32,6.36,6.26,6.99,7.59,6.43,7.0,7.03,6.93,7.1,7.63,6.65,7.12,7.1,6.99,7.02,7.39,6.55,7.02,7.1,7.06
광진구,6.38,6.79,5.89,6.49,6.5,6.22,6.38,6.7,5.78,6.54,6.52,6.39,6.53,7.09,6.24,6.45,6.55,6.34,6.45,6.82,5.64,6.4,6.73,6.66,6.1,6.74,5.55,6.09,6.15,5.98
동대문구,6.44,7.0,5.96,6.48,6.47,6.31,6.24,6.57,5.68,6.31,6.45,6.18,6.76,7.48,6.01,6.98,6.68,6.66,6.56,6.67,6.21,6.66,6.69,6.59,6.31,6.78,5.69,6.38,6.46,6.23
중랑구,6.55,7.1,5.87,6.66,6.72,6.42,6.32,6.67,5.8,6.43,6.45,6.27,6.92,7.44,6.12,6.94,7.06,7.03,6.36,6.44,6.07,6.39,6.52,6.36,6.38,6.9,6.13,6.27,6.3,6.31
성북구,6.65,7.18,6.08,6.7,6.73,6.57,6.19,6.54,5.64,6.27,6.39,6.1,6.95,7.25,6.35,7.07,7.21,6.88,6.85,7.2,6.43,6.94,7.07,6.61,7.09,7.58,6.48,7.2,7.1,7.07
강북구,6.57,6.84,5.9,6.74,6.78,6.58,6.18,6.46,5.56,6.32,6.43,6.15,6.52,7.15,5.61,6.72,6.9,6.24,6.18,6.41,5.2,6.41,6.44,6.45,5.9,6.59,5.13,6.01,6.0,5.79
도봉구,6.48,6.83,5.73,6.63,6.69,6.53,6.06,6.43,5.42,6.19,6.3,5.98,6.62,6.96,6.04,6.7,6.87,6.51,6.57,6.83,5.97,6.68,6.8,6.56,6.72,6.75,6.0,7.01,6.92,6.93
